
2013-11-13 18:15:23,539 /home/vietjovi/unsProject/log/output.log	 ---- Modified
2013-11-13 18:15:23,539 /home/vietjovi/unsProject/include/	 ---- Deleted
2013-11-13 18:15:23,539 /home/vietjovi/unsProject/libs/	 ---- New
2013-11-13 18:23:29,126 /home/vietjovi/unsProject/main.conf	 ---- New
2013-11-13 18:23:29,126 /home/vietjovi/unsProject/log/output.log	 ---- Modified
2013-11-13 18:24:09,262 /home/vietjovi/unsProject/main.conf	 ---- Modified
2013-11-13 18:24:09,263 /home/vietjovi/unsProject/log/output.log	 ---- Modified
2013-12-11 15:41:02,126 /home/vietjovi/unsProject/main2.conf	 ---- New
2013-12-11 15:41:02,159 /home/vietjovi/unsProject/main.conf	 ---- Modified
2013-12-14 16:50:07,828 /home/vietjovi/Documents/test	 ---- New
2013-12-14 16:50:07,864 /home/vietjovi/Documents/noteUNSCON.txt	 ---- Modified
